,sigma,x,y,z,t
11198,10,-3.662856668871455,-1.7503385912606482,24.739740820073344,11.98
11199,10,-3.486015413493074,-1.8592159609660999,24.152214045675738,11.99
11200,10,-3.3369962493922065,-1.9809167677184494,23.58113691368003,12.0
11201,10,-3.2143064123654757,-2.11416732568388,23.026642042199338,12.01
11202,10,-3.1164964148915635,-2.258147616249666,22.488847579101318,12.02
11203,10,-3.0421962466566965,-2.4124329762094066,21.96788611247956,12.030000000000001
11204,10,-2.990142806712111,-2.5769412942192838,21.463926942162967,12.040000000000001
11205,10,-2.959200040480403,-2.7518862148657437,20.977194201121687,12.05
11206,10,-2.9483729669905423,-2.93773625284738,20.50798248466826,12.06
11207,10,-2.956816755824939,-3.135179486613457,20.056671474379836,12.07
11208,10,-2.9838418286289077,-3.345093225587677,19.62374065334274,12.08
11209,10,-3.028915801747169,-3.5685178695141984,19.20978496756631,12.09
11210,10,-3.0916629102000908,-3.8066340713024505,18.81553208808054,12.1
11211,10,-3.171861446532797,-4.060742145235922,18.441861830074224,12.11
11212,10,-3.2694395497276565,-4.3322425896271195,18.089828152360905,12.120000000000001
11213,10,-3.3844695251279906,-4.6226164947986135,17.76068404809653,12.13
11214,10,-3.5171607956652013,-4.933404385329629,17.455909595579804,12.14
11215,10,-3.6678513661553835,-5.266181940913231,17.177243274609662,12.15
11216,10,-3.8369975644479033,-5.622530800382287,16.926716521376008,12.16
11217,10,-4.025161665956901,-6.004002406452814,16.706691256194496,12.17
11218,10,-4.232996822959318,-6.4120725814053685,16.51989980353286,12.18
11219,10,-4.461228553234387,-6.8480842135769135,16.369486166846205,12.19
11220,10,-4.710631844854008,-7.313175141705427,16.25904699570088,12.200000000000001
11221,10,-4.982002733612351,-7.808188074439101,16.19266973873445,12.21
11222,10,-5.2761230095728235,-8.333559235115535,16.174964356082025,12.22
11223,10,-5.593716524882913,-8.889182507436972,16.21108354205388,12.23
11224,10,-5.935395430799359,-9.474246285837342,16.306724640363253,12.24
11225,10,-6.30159460558737,-10.087041219007817,16.468104319970195,12.25
11226,10,-6.692492629317985,-10.724738796524404,16.70189491127751,12.26
11227,10,-7.107917804419553,-11.383143837927294,17.015107560004477,12.27
11228,10,-7.5472387505507195,-12.056427988821738,17.41490851624462,12.280000000000001
11229,10,-8.009239478593356,-12.736857798256938,17.908348302122867,12.290000000000001
11230,10,-8.491981161207114,-13.414538894960584,18.50198879732531,12.3
11231,10,-8.992654621275458,-14.077207639054626,19.20141274892791,12.31
11232,10,-9.507431111552346,-14.710113502242287,20.01060922948732,12.32
11233,10,-10.031322609976996,-15.296044933933064,20.931241197559626,12.33
11234,10,-10.5580671767238,-15.815560649827901,21.961820606263807,12.34
11235,10,-11.080059786213832,-16.247489107369308,23.096843868338347,12.35
11236,10,-11.588352573046942,-16.569749765091917,24.325973082642147,12.36
11237,10,-12.072749827648261,-16.760522375996363,25.63338014367774,12.370000000000001
11238,10,-12.522021721509422,-16.799746710646478,26.99739927870584,12.38
11239,10,-12.924253295859279,-16.670870659469337,28.390639289717782,12.39
11240,10,-13.267332686275296,-16.362691296915628,29.780686506820036,12.4
11241,10,-13.53956334640904,-15.8710589255296,31.13147030041925,12.41
11242,10,-13.730363106020976,-15.200178842167974,32.40526187667589,12.42
11243,10,-13.830989761240353,-14.363237497973772,33.56515840613673,12.43
11244,10,-13.835216123730547,-13.38215503428912,34.577779060864536,12.44
11245,10,-13.739871393592946,-12.286390680640341,35.41581665383002,12.450000000000001
11246,10,-13.545174613217782,-11.11089353020974,36.06007260671033,12.46
11247,10,-13.254809759991376,-9.893453721388154,36.50067015869154,12.47
11248,10,-12.875727314017789,-8.671823612488202,36.737281922233905,12.48
11249,10,-12.417695988153154,-7.481010432374822,36.77838576128492,12.49
11250,10,-11.892662179004219,-6.351087029808888,36.63972922864165,12.5
11251,10,-11.313996721539631,-5.3057440559904245,36.342296978538926,12.51
11252,10,-10.695714983792485,-4.361654200282547,35.910114130084665,12.52
11253,10,-10.051747468961507,-3.528579977884218,35.368182634270745,12.530000000000001
11254,10,-9.395319721778918,-2.8100592971329696,34.74076645767279,12.540000000000001
11255,10,-8.73847597070785,-2.204459267652329,34.05013688961321,12.55
11256,10,-8.091757804446923,-1.7061935053945367,33.3157956358878,12.56
11257,10,-7.464030201574752,-1.3069353359766644,32.5541239271813,12.57
11258,10,-6.862434469035811,-0.9967110241957031,31.77836698221179,12.58
11259,10,-6.292441103591718,-0.7648087389239474,30.998851284370524,12.59
11260,10,-5.757974185926893,-0.6004813772880133,30.22333942770262,12.6
11261,10,-5.2615810830273535,-0.49345105809815,29.45744517672198,12.61
11262,10,-4.804625381296172,-0.43424051044154693,28.70505270339348,12.620000000000001
11263,10,-4.38748595019465,-0.41436401309777626,27.968704274863967,12.63
11264,10,-4.009749790111545,-0.42641140272674266,27.249937056111367,12.64
11265,10,-3.6703906000231643,-0.4640553256532775,26.54956194999368,12.65
11266,10,-3.367928351702308,-0.5220071326504025,25.86788538203646,12.66
11267,10,-3.1005678467275772,-0.5959409023130819,25.204879611302026,12.67
11268,10,-2.8663159107953042,-0.6824006448848755,24.560309306872554,12.68
11269,10,-2.6630782382952343,-0.7787010564788271,23.933822709869904,12.69
11270,10,-2.488737561381554,-0.8828290058091621,23.32501523343249,12.700000000000001
11271,10,-2.3412152409173057,-0.9933502807900666,22.733472366799475,12.71
11272,10,-2.218518482976123,-1.1093243670897956,22.158797625485995,12.72
11273,10,-2.118775406379144,-1.2302285875206116,21.600630102837194,12.73
11274,10,-2.0402600264646993,-1.355892084570861,21.058655148464904,12.74
11275,10,-1.9814090536386226,-1.486439519389393,20.532610818538156,12.75
11276,10,-1.9408321838632918,-1.6222439915283413,20.022292036416843,12.76
11277,10,-1.9173173489528081,-1.7638884469232023,19.527553855204886,12.77
11278,10,-1.9098321708263364,-1.9121347252511953,19.04831480258341,12.780000000000001
11279,10,-1.9175226628682067,-2.067899372760864,18.584561031747914,12.790000000000001
11280,10,-1.9397100485057832,-2.232235306406775,18.13635178081918,12.8
11281,10,-1.9758863831244748,-2.4063184481673296,17.703826530076363,12.81
11282,10,-2.0257095249876,-2.5914384833595507,17.287214197377914,12.82
11283,10,-2.0889978723314373,-2.7889929096521895,16.886844684498975,12.83
11284,10,-2.165725162441176,-3.000483558271528,16.50316309106591,12.84
11285,10,-2.2560155178006545,-3.227514766561868,16.136746943342995,12.85
11286,10,-2.3601388378304726,-3.4717923394509396,15.788326825250888,12.86
11287,10,-2.47850653091247,-3.7351223748088063,15.458810842673623,12.870000000000001
11288,10,-2.611667491595583,-4.0194089094149295,15.149313396660732,12.88
11289,10,-2.7603041315727364,-4.326649187827118,14.861188768914445,12.89
11290,10,-2.925228168519236,-4.658925107372874,14.596070031578085,12.9
11291,10,-3.1073757453108994,-5.018389115946544,14.35591375569597,12.91
11292,10,-3.307801320065508,-5.407242437007652,14.143050896498986,12.92
11293,10,-3.527669592234114,-5.827703027697482,13.960244034023926,12.93
11294,10,-3.7682445240722084,-6.281960101916367,13.81075081456144,12.94
11295,10,-4.0308742704492015,-6.772111360613978,13.698392881758506,12.950000000000001
11296,10,-4.316970583780618,-7.30007845834267,13.627628885946928,12.96
11297,10,-4.627980816173826,-7.8674951388028616,13.60362871120074,12.97
11298,10,-4.96535041309897,-8.475562203805428,13.632344709154397,12.98
11299,10,-5.330473292018319,-9.124862632755223,13.720573220064045,12.99
11300,10,-5.724627158341725,-9.815130227410824,13.875996700142338,13.0
11301,10,-6.148890463547692,-10.544965850319553,14.107192873757068,13.01
11302,10,-6.604037554570239,-11.311497327542266,14.423592585425194,13.02
11303,10,-7.090408693717735,-12.109983042477825,14.835362575604233,13.030000000000001
11304,10,-7.607752173308613,-12.933365586439457,15.353183955912993,13.040000000000001
11305,10,-8.155037453256586,-13.771795046556948,15.98789029887791,13.05
11306,10,-8.730240091614297,-14.612149366227923,16.74993218272639,13.06
11307,10,-9.330103733527258,-15.437610210058223,17.648627489334682,13.07
11308,10,-9.949889884629346,-16.227365919410946,18.69117765869567,13.08
11309,10,-10.5831334470451,-16.95654682057839,19.881443939176474,13.09
11310,10,-11.221431585768785,-17.59651643016686,21.218521570219025,13.1
11311,10,-11.854303138743445,-18.11565345037975,22.69520394467033,13.11
11312,10,-12.469164455748777,-18.480743395839298,24.296500456386998,13.120000000000001
11313,10,-13.051472517801583,-18.659047308343496,25.99845037124798,13.13
11314,10,-13.585083138339861,-18.62101330537375,27.767535401114525,13.14
11315,10,-14.052857731038115,-18.343450920976863,29.56101551098529,13.15
11316,10,-14.43752305643912,-17.812814069227144,31.328451601678413,13.16
11317,10,-14.722746821617534,-17.02808488790842,33.01452716975621,13.17
11318,10,-14.894342257492431,-16.002669969921122,34.563033071211564,13.18
11319,10,-14.94146857957693,-14.76478020682433,35.9215872198987,13.19
11320,10,-14.857666353728781,-13.355985844618488,37.046408369969804,13.200000000000001
11321,10,-14.641568672651452,-11.827986363746362,37.90634449463797,13.21
11322,10,-14.297166985037782,-10.238031127977415,38.48543409106438,13.22
11323,10,-13.83357984058444,-8.643732340587094,38.78356548947133,13.23
11324,10,-13.264355448236673,-7.098130521757976,38.81520069892172,13.24
11325,10,-12.606414832237528,-5.645769082245122,38.606528590087144,13.25
11326,10,-11.878791315563568,-4.32025022281068,38.19168234543264,13.26
11327,10,-11.101335143705887,-3.1433900051119568,37.60873563446631,13.27
11328,10,-10.293531348741679,-2.125775535195134,36.89609271395688,13.280000000000001
11329,10,-9.473535369968882,-1.2683271090308517,36.089674515753565,13.290000000000001
11330,10,-8.657479107312959,-0.5644069020013808,35.22106210273703,13.3
11331,10,-7.859053082027142,-0.0020629804056520387,34.31655763350949,13.31
11332,10,-7.089335794077224,0.4338925766361928,33.39699522864508,13.32
11333,10,-6.356821453768383,0.7601471396281588,32.47808114999632,13.33
11334,10,-5.6675907257473845,0.9935599204682569,31.57104767488313,13.34
11335,10,-5.025571969591576,1.1502335646763187,30.683443152256974,13.35
11336,10,-4.432848741441144,1.2449307647933614,29.81993100090951,13.36
11337,10,-3.8899797344599163,1.2907636386552186,28.98301871278433,13.370000000000001
11338,10,-3.396307648410849,1.2990830747292386,28.1736773293705,13.38
11339,10,-2.9502421059729325,1.2795039256078633,27.391839220006887,13.39
11340,10,-2.549508859442827,1.2400155687040741,26.636779650907386,13.4
11341,10,-2.191362172520577,1.1871394040537602,25.907396628489924,13.41
11342,10,-1.8727608516349619,1.126106746538739,25.202407220812137,13.42
11343,10,-1.5905103570357533,1.061039678318325,24.520478662751113,13.43
11344,10,-1.34137450099889,0.9951239183014234,23.86031060859468,13.44
